page,interactions,nb
Centre Médical Diamant - Kinshasa,150629,15
92.1 CITI,150550,24
Poland Forever,150474,50
104.3 - The Breeze,150377,35
AB3 Comedy,150091,8
Summer Walker,150086,26
Jobs World,149927,7
Eric de Oliveira Pereira,149923,14
Ministère de la Santé et des Services sociaux (MSSS),149815,20
"Con permisito, dijo Monchito",149693,56
VoyageVoyage,149597,15
Radio Guyana International,149584,57
Alexisonfire,149552,34
TransLink,149376,5
Scotty Sire,149250,30
Voice of Revival,149130,45
cuddle + kind,149118,27
OFW Family,148965,11
Hot Country 103.5,148863,51
The Social,148678,16
Government of Newfoundland and Labrador,148599,40
Loto-Québec - Loteries,148589,34
Suki Cosplay,148430,47
Avena Canadiense,148138,34
Les Fabuleuses - Créations Québécoises,147979,29
Let's Go Bruins !,147804,44
Nick Johnston,147562,36
Sarah Blackwood,147537,37
ICI Tou.tv,147295,36
Fashionforchurch,147289,45
Chris Brown - Fan Club,147236,6
Le Nouvelliste,147141,42
بآوانم  سنه,147048,27
Emmanuelle Caplette,146939,13
Canadian Arab TV التلفزيون العربي الكندي CATV,146922,11
Children of The Dark Continent,146793,37
Perry Bellegarde,146697,31
Resto Pizz,146664,28
Travis Cormier,146649,40
RDI Matin,146545,27
Étienne Drapeau,146470,24
NBC Days of Our Lives Spoilers,146290,49
Caribbean Pot,146144,35
Top 5 Unknowns,146065,34
WINGS: Women's International News Gathering Service,145642,27
Ukrainian Dance World,145457,41
Wikkid Wayz,145396,17
Red de Amigos de la Revolución Ciudadana,145223,28
"Immigration.ca - Colin Singer, Canada Immigration Lawyer",145119,56
KPOP STYLES,145074,5
EAZYE,145013,15
Mary Brown's,144869,46
Florentino Jajoy,144690,17
Bois de grange création,144609,10
Julie Bélanger,144590,43
Pattes Et Griffes,144543,23
Boundary,144527,23
Toxic Vision,144504,43
A ton avis,144435,51
Cole Rolland,144386,60
Big Brother Canada,144371,19
Budo Brothers,144298,27
ਪੰਜਾਬੀ ਧਮਾਕਾ Punjabi Dhamaka,144281,27
Gustav Klimt,144084,34
Ontario Provincial Police - West Region,143916,20
Le pacte pour la transition,143689,29
Get Sweatin',143517,2
BEAT esports,143403,22
Florence Scovel Jewelry,143262,39
94.1 myFM,143140,13
Grumpy Aliens Korea,143096,28
Qué Interesante: Belleza y Salud,142967,30
HorslandFilms,142773,21
The Surfrajettes,142659,7
Conkarah,142130,23
العمورى للازياء_جنزور,142083,34
Nutaku Games,142023,33
Jay Du Temple,142003,39
Immigration Consultants of Canada Regulatory Council,141773,18
"Home Hardware, Building Centre & Furniture Stores",141653,19
VVS Films (Québec),141549,25
Grands Titres,141507,53
Les OutsiderZ,141404,59
Mark Matthews,141231,16
The Munk Debates,141116,24
Fais Moi Rire Encore,141077,24
Ashley Jewels,141013,35
Calgary Humane Society,140800,19
Edgar Muenala,140758,18
Country Liberty,140601,31
"Info, sexe et mensonges",140146,15
Lancôme,140145,38
Puro ingenio mexicano,140024,18
Soap Opera Spy,139828,58
DaugEmbassy TV,139812,8
Hamid Ouchene chanteur kabyle,139810,22
Nightlife.ca,139621,34
Alberta To The Point,139614,33
Ville de Montréal,139498,46
The Hamilton Spectator,139481,55
National Meme Board of Canada,139379,28
Parc Safari,139067,17
Opera Gallery,138869,12
Catholic Heritage,138833,1
Seta Hagopian - سيتا هاكوبيان,138638,17
My Fluffy Puffs,138317,12
The New HOT 93.5,138190,14
Tim Ferriss,138019,36
Tom Kmiec,137923,24
Shezan Saleem JO-G,137693,4
Peter Youngren,137538,13
Those With Eclectic Taste,137422,41
King Blingz,137386,22
I Love Cycling,137321,44
Boom 104.1 - 106.5,137309,40
ELAC,137280,37
HollywoodPQ.com,137135,42
Alberta Patriots,137113,13
L'USINE,137054,18
Showhome Furniture,137015,27
Royal Canadian Mounted Police,136987,32
Alan Doyle,136914,29
Kent Building Supplies,136892,20
BlacktipH,136870,10
Dark Sense,136462,25
102.3 Now! Radio,136369,48
Dr. Moondust,136367,45
Dr. Farhang Holakouee,136288,40
Cinchknight's Meme Stash,136281,4
BTS Merch,136230,29
Walt Disney Films Québec,136069,41
Aesthetic memes for tryhard teens,135860,21
Sobeys,135336,22
Martin Deschamps,135301,22
Fleetwood Mac News,135280,31
Makeup by Dibawssette,135268,19
Dank Meme Crew,135152,14
Experience Sikhi,135037,1
Milly Wessy,134901,31
Total Crap,134831,41
Contre le Parti libéral,134778,23
DAVIDsTEA,134751,27
Iraqi Canadians - العراقيون في كندا,134654,4
104.9 myFM,134636,11
Lora Zombie,134493,35
Sarah Baeumler,134324,49
Allscholarships,134301,24
94.7 Rouge,134002,29
Hooped Up,133688,7
"96,9 Rouge",133543,36
KiSS 91.7 Edmonton,133309,22
BBTV,133197,16
DATSIK,133182,19
Alberta's NDP,132927,38
Visit Montréal / Visitez Montréal,132897,46
Guyana United,132858,40
Bo Bébé - Le magasin pour bébé,132755,22
TVA Saguenay-Lac-St-Jean,132446,19
Down in the DMs,132307,22
Goats,132295,31
SPCA de Montréal,132134,47
Cape Breton Island,131648,38
Khloë Terae,131567,34
Pangburn,131527,21
BRAND OF SACRIFICE,131339,11
La Revanche,131269,48
WorldTop le meilleur du web,131232,38
Chella Bonita,131215,12
A Capella Science,131166,24
"Canadians for Political Accountability, Social Justice, a Green Future",131141,15
Strawberry Shortcake,131101,58
Gino Hard,131024,22
ICI Grand Montréal,130845,18
PikachuInnahoodie,130818,16
Still Our Canada,130811,15
Wattpad,130613,31
Cégep de l'Abitibi-Témiscamingue,130531,8
Cricket Expert,130513,32
Jurassic World: The Game,130511,46
106.7 THE DRIVE,130286,13
Les Grandes Crues,130264,19
Andrea Horwath,130131,48
Congomikili news,130053,26
TROP CUTE [Fan-O-web],129804,35
NEWS 1130,129757,37
Cottage Life,129640,33
Madison Beer,129559,37
Nature's Path Organic Foods,129518,41
The Senior Paper,129410,34
Ｗｏｒｌｄ Ｗｉｄｅ Ｗｅｂ,129260,22
Virgin Radio Toronto,129147,50
York Regional Police,129129,38
The World Famous CFOX,129098,24
MOD Boutique,129078,44
National Tennis School,128846,7
AMI-télé,128607,14
Albin Michel Canada,128566,39
HEAVY MONTRÉAL,128495,34
Mouraine,128493,1
Veme,128341,13
Jeux Vidéo,128337,3
Muhammad Lila,128333,7
The Plaid Zebra,128330,7
Gurratan Singh,128232,25
Chris Evans Universe,128135,49
Yalla D7ak,128070,8
The Cars,128059,23
Military Minds Inc.,127712,35
Not Just Tourists,127458,2
Amor a Todo,127379,15
Elly Mangat,127320,45
Virgin Radio Edmonton,126874,14
Whistler Blackcomb,126851,32
Crystal Andrus Morissette,126839,22
Pittsburgh Penguins Fans Unite,126808,42
Hair Force One,126795,2
Starbucks Canada,126563,27
Radio-Canada Science,126555,32
Frightened Rabbit,126525,22
Berto,126510,1
DJ Duncan Media,126505,15
Guylaine Tanguay,126462,37
V,126067,39
Four Seasons Hotel Mumbai,125813,48
MISS TARA,125705,52
Marvel Contest of Champions,125654,53
Ink4Autism,125262,46
Memes traduits en français sans aucun crédit,125123,35
Secret Location,125086,8
Punjabi Troll,125011,29
Hamilton Police Service,125001,32
Marine and Offshore Institute,124996,31
Evasion Loisirs,124993,33
Nehjul Balagha,124907,39
Furious Pete,124748,24
NATIV Media,124745,10
Rogers Place,124575,35
طارق التائب,124551,22
Don't tell me how to live my meme,124431,26
Katherine Levac,124202,29
Sniffy Markers,124187,1
Simons,124181,20
The Province,124036,49
Pchaaakh TV - بشاخ تيفي,123996,9
Opshora Ali,123945,21
No To War,123894,19
New Brunswick Proud,123556,35
Au secours de Béatrice,123483,31
Dr engineer ent.,123350,30
The Fantasy PL,123330,48
Diafar Héma Ouattara,123186,20
BS page fans,123061,39
The Tenors,123006,9
Sushi Shop,122975,25
Guillaume-Sans Destination,122776,6
Ça finit bien la semaine,122612,26
ElectroBOOM,122545,25
SIERRA HOTEL AERONAUTICS,122486,37
An Italian in my kitchen,122470,40
Faisal Kutty,122397,10
Edmonton International Airport,122374,50
Damascus,122257,26
I Love My Grandchildren,122247,25
Political Chart Memes - PCM,122135,42
Music Marketing Inc.,121833,31
Oil & Gas Strong,121764,5
Ottawa's Pure Country,121516,21
GreenGoblinHD,121490,44
Spotted st-jérome,121431,18
Canadian Medical Association,121320,8
Tribulink France,121144,17
Here TV,120996,37
The Jeff O'Neil Show,120845,12
Arcadio Marcuzzi,120830,4
Desjardins,120551,22
N'guessan Ange Eric,120518,29
REGAN GRIMES IFBB PRO,120478,15
Franck Kom,120400,22
Still Standing,120261,35
The Off Grid Cabin,119929,17
Blackhawk Nation,119872,41
AfrotroniX,119784,18
Tourism Ucluelet,119716,16
Break Your Chains,119622,5
LifeSiteNews Catholic,119591,15
ContraPoints,119558,44
Blacc Zacc,119518,26
Maxim Martin,119439,31
P-A Méthot Humoriste,119401,29
Venom,119377,10
Alexander Chung,119277,1
Emmanuel Dubourg,119186,23
AIR MILES Canada,119166,17
It's Better in the Bahamas,119102,4
Family court hurts,118782,4
Rehaan Records,118730,18
"Radio X - CHOI 98,1",118703,24
Luc Langevin : Page Officielle,118679,9
أزرق Bľůë,118655,7
Canada Memes,118653,10
Spodermen,118626,45
Rev George Agyei Kwabi - Kofi Agyei,118482,42
Parenting From The Heart,118462,18
Science du bonheur en Amour,118421,18
Yukon Quest,118401,35
꽃길만걷자,118366,40
"Rachael Harder, MP",118334,18
Kanwar Sandhu,118278,37
GULED SIMBA,118190,26
Canada Campaign,118163,33
Country Living,118018,28
Julius Maada Bio 2018,118007,45
Alberta Oil Sands,117836,11
Lisa Lisson,117730,29
Islamic Relief Canada,117424,4
Dr Modestine Carole Tchatchouang Yonzou,117346,20
Sash,117257,30
The Narwhal,117237,39
Katie Hopkins Fans Club,117233,39
Bearhead Sister's,117166,22
Genuine Fishing,117155,30
Happy Tails Pet Resort and Camp,117151,34
Lance Pekus,117149,3
Las mas impactantes  peleas de animales,116848,18
SickKids Foundation,116807,25
Costco Wholesale Canada,116765,21
The Terry Fox Foundation,116739,33
Lydiane autour du monde,116664,33
Innervoice by ਸ਼ਰਨਕੌਰ,116624,13
My Makeup Brush Set,116618,21
CTV Morning Live Atlantic,116586,28
Nestlé,116467,12
DJ Blitz,116464,20
حب الوطن من الايمان,116415,6
WEST Education Group,116349,17
Marie-Eve Janvier et Jean-François Breau,116324,25
Alyak 2000 Inc.,116306,29
Jaydayoungan,116261,18
Skate Canada / Patinage Canada,116180,39
Dan Aykroyd,116099,23
Gordon Lightfoot,116028,25
Un zoo pas comme les autres,116020,26
Food Basics,115876,26
Skin Essencia,115747,7
The Council of Canadians,115625,19
Asad Que,115580,19
خالد الهوني ، مواطن  ليبي .,115566,45
Zaytoven Beatz,115503,4
BusPatrouille,115438,2
Global Dairy Platform,115335,4
Ahmed Sadiq Fan Club,115200,8
Astuce Sympa,115077,15
Island Joy Rides:  Bicycle and Kayak Tours on Vancouver  Island,114960,2
CHBC - Global Okanagan,114937,17
Osheaga,114891,17
Di Riseborough-Intuitive Life Strategist,114699,25
Z95.3 Vancouver,114551,20
François Lambert,114474,35
Marie-Claude Barrette,114467,29
I Love My Grandkids by Deserves.com,114369,43
BC Patriots,114265,19
Cathy Gauthier,114263,20
Minimo motivation ludique,114261,23
L'heure bleue,114125,39
Saskatchewan Canada Campaign,114093,34
DIM MAK,114055,12
NON à l'austérité,113729,22
ÉNERGIE 94.5,113651,43
Lil Yachty,113620,23
ÉNERGIE 102.3,113314,24
Canadian Tire,113258,30
Don't Let Go Canada,113203,7
The Moffatts,113059,39
Tenleid Cosplay,113024,36
"104,7 Outaouais",112999,25
Tennis Canada,112981,31
Robin Hood Baking Family,112922,22
IFOLO Officiel,112825,19
Ryan Snoddon,112745,31
Jeffrey Sutorius,112744,23
ANOKHI MEDIA,112704,24
Blackhawks Feed,112662,41
Alexandre Boulerice,112649,16
Chatelaine,112627,45
Les Beaux Proverbes,112398,29
Fergus the Horse,112301,36
Bhutila Karpoche,112275,7
JT Atwal,112246,1
Goran Dragic,112227,22
Magazine VÉRO,112081,30
Thriving Tress,112030,4
Home Epiphany,111836,40
Team Homan,111823,40
Left Behind,111622,35
Ashley Callingbull,111589,33
YUL Aéroport International Montréal-Trudeau,111402,16
Byg Byrd,111265,16
Women's March Global,111145,5
Gray Matter,111124,4
Things Health,111047,1
"বর চাই, কনে চাই",110903,13
Real Country 95.5,110706,11
McGill Office for Science and Society (OSS),110703,1
Shady Records,110678,27
Erin Wallis Photography,110548,2
Fromages d'ici,110492,30
8Hay,110445,26
LovePulses,110401,18
Newstalk 610 CKTB,110343,39
Elliot Paris,110200,1
Quebec Offres Gratuites,110120,34
La Tribune,109809,36
Fondation CHU Sainte-Justine,109732,9
ÉNERGIE 104.1,109592,39
Disciple Making International Ministry,109576,21
Forum of Federations,109511,13
Gabor Maté,109410,30
مطعم كرم بغداد,109268,14
Rapido Trains Inc.,109257,20
KOTV,109241,10
Kevin Raphael,109035,13
Urban Adventures,109017,1
Billy Talent,108822,33
Spotted Terrebonne - Mascouche,108805,23
Lecile Harris,108325,14
Shopify Partners,108245,19
University of British Columbia,108181,33
D-BOX,108107,12
The Binger,107996,52
Première Moisson,107973,26
Mpompon,107972,29
Arawaza,107948,27
REN'S PETS,107918,29
D Smoke,107882,28
Royal Canadian Mounted Police in Newfoundland and Labrador,107862,28
Castanet,107775,32
Kim Rusk,107742,27
Addisu Arega Kitessa,107559,34
Positive Energy,107503,40
Mélanie Maynard,107487,20
1res fois,107434,22
Darla Halyk,107179,2
Soutien aux Policiers Québec / Canada,107085,25
Jus Reign,107051,21
Flipp Dinero,106977,3
Oumour Jeddia - أمور جدية,106832,21
Travel Quotes,106760,55
Eugène Allard cuisine et tendances,106726,25
WILD 953 - Calgary's New Country,106708,9
Iran In Photos,106626,39
My Simple Better Life,106546,26
WWF-Canada,106489,13
Ron James,106402,8
93.7 JR Country,106042,40
Park Place Barrie,106026,23
Canada Revenue Agency,105833,14
Aarsh Benipal,105811,29
Kamisori Shears Official,105760,31
MonsieurChalets,105715,10
Toko-pa Turner,105597,37
QX 104,105294,18
Unloaded Force,105173,16
SportsBreak,105076,31
The Pretty Reckless,104670,24
Indyy Sanghera,104668,8
Baticholo,104615,35
Classified,104584,26
Swift Best In Crash,104541,40
R.A.S_Officiel,104530,39
Planette produits écologiques,104502,23
Demeke Mekonnen Hassen,104417,30
New Brunswick / Nouveau-Brunswick,104381,33
Canada Post,104357,24
Nata Albot,104195,29
Fouad 'Hoss' Abiad's Official Fan Page,104182,14
Canadian Sheepdog,104036,14
Charlie Angus NDP - NPD,103986,29
LNH,103938,32
Jenna Bentley,103743,52
Royal Newfoundland Constabulary,103726,28
The Newfoundland Shop,103629,23
Mercan Group of Companies,103507,5
Ontario Provincial Police,103403,17
The Kitchen Magpie,103399,20
The Cher Show,103239,13
Fairmont Le Manoir Richelieu,103076,7
NTV News,102943,32
Joseph Rose,102858,35
Shawn Wasabi,102734,9
durhamregion.com,102613,18
Daily Hive Montreal,102573,15
Blue Rodeo,102548,22
You Broke Me,102360,11
Workout Guide,102337,26
Crankworx,102123,14
HGrégoire,102122,5
Steve Terreberry 'Stevie T',102071,35
Le coeur a ses raisons: meilleurs moments,102062,19
FlySwoop,102040,30
Alpha1Rides,101658,9
The National Ballet of Canada,101591,28
Matt Colbo,101559,1
Magazine La Semaine,101521,24
Lorex Technology,101478,9
Montreal Comiccon,101410,33
North Star Adventures,101400,11
3MillionCats,101357,39
97.7 HTZ-FM,101345,25
Okay memes,101317,4
"Depression Chronic, Memes Ironic",101273,10
Jamie Miller,101269,11
Jody Wilson-Raybould,101264,20
Start.ca Rocks The Park,100795,20
Type 1 Diabetes Memes,100706,42
Tarboozah,100614,11
Monica Beets - Gold Rush,100583,24
Huma in the kitchen,100555,30
Aga Khan Development Network,100553,26
Dianne Body Music,100538,22
Honey Dill Comics,100514,2
Daily Funny,100448,4
Patrick Groulx,100442,8
BC Transportation and Infrastructure,100380,5
X Local - Nanaimo,100354,31
MJ's Off the Hook Designs,100317,25
Engage Canada,100301,11
Canada Latin Channel,100259,1
Tdotclub,100245,8
Calgary Stampeders,100205,38
Island Cricket,100161,27
Capital GMC,100103,32
Hugo Lapointe,100066,29
Yograj Singh,99982,14
Patrice Michaud,99866,9
Joël Legendre,99761,29
4YE Media,99736,2
LOLO et moi,99553,17
Peel Regional Police,99431,16
Kris Kross Amsterdam,99377,19
"Nobody Dates Anymore, Everybody has a ''Thing"" with someone",99347,4
"Nicky, Mia & Bruno",99310,42
Artemano,99237,31
The Calgary Zoo,99007,21
Canadian Arabs,98993,30
Nicole Martin,98983,12
Rock et Belles Oreilles ( RBO ),98861,2
Vinyl Cafe,98838,22
Shane Mahoney,98601,16
Avanshin Gaming,98360,24
Je suis une maman,98322,37
التراث الطرابلسي Tripolitan Heritage,98310,24
Princess Auto,98159,23
Marie-Lyne Joncas,98085,23
François Pérusse,98078,22
Fred Pellerin,98060,13
Corb Lund,97961,27
John Irving,97939,21
Catherine Côté,97920,22
Barbies Resto Bar Grill,97895,28
CFJC Today Kamloops,97786,33
Belinda Morrison Master Trainer,97772,13
Earthsave Canada,97664,35
Soulection,97382,4
Kranium,97252,10
Magazine Échos Vedettes,97247,27
Saputo,97179,40
Willy B. Rose,97098,8
MrsGrocery.com,97032,2
Poches & Fils,96989,20
The Lower Deck,96937,5
The Wild Harvest Initiative,96858,5
UBC Confessions,96815,39
The Humanity Project,96776,26
Dalai Lama Inner World,96712,3
Canadian Immigration and Citizenship,96677,32
Women Who Farm,96636,36
London's Pure Country,96611,40
Canada Soccer,96570,26
John Horgan,96506,27
Web Amazigh,96505,14
Dreezy,96487,22
ServiceOntario,96148,2
Cowgirl Inspirations,96123,23
Little Angel,96039,25
Durham Regional Police Service,96001,24
Rock Recipes,95949,17
"Cody Creelman, Cow Vet",95799,28
Shahveer Jafry,95719,11
Les Denis Drolet,95436,17
TPL Moms,95420,27
ozone+ tv,95341,19
Canadian Armed Forces Operations,95317,18
Shrem Arts and Crafts,95304,32
Amir Ismail & Associates - Citizenship & Immigration Solutions,95275,23
FLARE,95068,33
The Parlor Tattoos,95053,27
Machel Montano,94973,23
CIME.FM,94935,23
Saskatchewan News,94922,6
BAN Elephant Rides and Performances,94872,3
Things That Matter,94849,20
The Milky Way - a photographer's resource,94738,27
650 CKOM,94733,25
Calgary Expo,94657,24
Chapman's Ice Cream,94649,17
Ishaq Mustaqim,94388,3
The Unfit Indian,94370,32
InVision,94093,26
Solo Pa' Colombianos,94049,14
Dansun Photos,94014,21
Sépaq,93994,24
European Training Center,93868,25
Riot Girl Rebirth,93833,9
Jonathan Emile,93818,6
Matty Matheson,93800,39
Ancient Art of Stone,93798,7
Kingstonist,93783,31
Canadian Food Inspection Agency,93645,27
Mark Steyn,93635,29
PetTube,93623,11
Suzy Shier,93609,38
Shane Koyczan,93569,21
Autódromo Hnos. Rodríguez,93508,8
WeCookca,93452,26
عبدالقادر القنين,93403,35
"Contre le registre, pour la santé mentale",93393,29
Brigitte's Life Lessons,93374,3
Antoine Joubert,93272,32
SammooGym,93207,23
Earl Sweatshirt,93185,21
Jacob Matthews,93146,22
Cinémas Cineplex,93091,15
Coach Jeremy - How To Hockey,92987,12
Beyond Creation,92974,19
Egotastic!,92951,37
Seeding Square,92936,11
106.9 FM THE WOLF,92879,1
Jean-Thomas Jobin (officiel),92870,32
Denjay Ayco,92867,8
That 30 Year Old Baby Boomer,92847,29
Tee Grizzley,92817,10
Stop À l'Incivisme Au Sénégal,92776,20
"It's hard to answer the question ""what's wrong?"" when nothings right.",92593,7
Regina Spektor,92563,21
Latotatv.com,92534,8
Göktürk Yuvası,92508,15
La Petite Vie,92339,17
Quotes About Life,92269,35
Sardonic Satire and Silly Stories,92160,2
VayaMonos,92106,14
Roberto Carlos Da Silva Rocha,92010,24
PnB Rock,92008,11
McMaster University,91976,16
Cindy Day,91746,32
